log_wage,years_of_schooling,year_of_birth,quarter_of_birth,state_of_birth
4.723808,8.0,30.0,1.0,36.0
5.521845,12.0,30.0,1.0,36.0
6.306591,12.0,30.0,1.0,36.0
5.181159,8.0,30.0,1.0,50.0
6.242485,12.0,30.0,1.0,36.0
6.991018,12.0,30.0,1.0,9.0
6.485662,13.0,30.0,1.0,36.0
4.999462,10.0,30.0,1.0,36.0
4.957316,12.0,30.0,1.0,36.0
6.175587,12.0,30.0,1.0,36.0
6.670693,19.0,30.0,1.0,9.0
5.259597,16.0,30.0,1.0,9.0
5.952494,14.0,30.0,1.0,39.0
5.952494,16.0,30.0,1.0,36.0
6.240988,12.0,30.0,1.0,36.0
5.745004,11.0,30.0,1.0,42.0
6.343336,20.0,30.0,1.0,17.0
5.595926,12.0,30.0,1.0,36.0
5.768633,12.0,30.0,1.0,36.0
5.39319,12.0,30.0,1.0,36.0
5.22709,12.0,30.0,1.0,48.0
5.992185,12.0,30.0,1.0,36.0
6.097426,14.0,30.0,1.0,36.0
5.697674,12.0,30.0,1.0,36.0
6.193767,14.0,30.0,1.0,42.0
5.013963,8.0,30.0,1.0,36.0
5.48264,8.0,30.0,1.0,36.0
5.809768,12.0,30.0,1.0,36.0
5.595926,12.0,30.0,1.0,36.0
5.289141,12.0,30.0,1.0,36.0
5.573542,9.0,30.0,1.0,36.0
5.847161,12.0,30.0,1.0,36.0
4.881064,12.0,30.0,1.0,25.0
5.568435,18.0,30.0,1.0,36.0
6.175587,14.0,30.0,1.0,17.0
6.40374,18.0,30.0,1.0,36.0
6.173994,12.0,30.0,1.0,36.0
6.620201,16.0,30.0,1.0,55.0
5.521845,9.0,30.0,1.0,36.0
6.20708,19.0,30.0,1.0,36.0
6.483019,16.0,30.0,1.0,36.0
6.191851,18.0,30.0,1.0,36.0
5.768633,9.0,30.0,1.0,36.0
5.98592,13.0,30.0,1.0,36.0
5.526448,12.0,30.0,1.0,36.0
6.134774,12.0,30.0,1.0,36.0
5.927182,10.0,30.0,1.0,36.0
5.847161,12.0,30.0,1.0,36.0
6.134774,18.0,30.0,1.0,36.0
6.163517,12.0,30.0,1.0,36.0
5.790019,16.0,30.0,1.0,36.0
-0.732368,8.0,30.0,1.0,42.0
6.250309,17.0,30.0,1.0,21.0
6.848434,16.0,30.0,1.0,36.0
5.635819,12.0,30.0,1.0,42.0
6.594229,12.0,30.0,1.0,42.0
6.082614,12.0,30.0,1.0,36.0
5.521845,12.0,30.0,1.0,36.0
6.405705,16.0,30.0,1.0,36.0
5.259597,12.0,30.0,1.0,36.0
5.961947,10.0,30.0,1.0,36.0
6.024332,12.0,30.0,1.0,36.0
6.406658,16.0,30.0,1.0,36.0
5.895938,12.0,30.0,1.0,36.0
6.2148,11.0,30.0,1.0,36.0
5.288898,13.0,30.0,1.0,42.0
5.354861,2.0,30.0,1.0,18.0
5.752878,11.0,30.0,1.0,36.0
5.521845,10.0,30.0,1.0,36.0
6.456498,17.0,30.0,1.0,36.0
6.092223,12.0,30.0,1.0,36.0
6.2451,12.0,30.0,1.0,36.0
6.891118,19.0,30.0,1.0,17.0
6.357876,11.0,30.0,1.0,21.0
6.252534,13.0,30.0,1.0,36.0
6.706133,17.0,30.0,1.0,36.0
5.595926,12.0,30.0,1.0,36.0
6.366503,13.0,30.0,1.0,36.0
6.288895,13.0,30.0,1.0,36.0
5.990743,11.0,30.0,1.0,36.0
6.024797,16.0,30.0,1.0,36.0
6.509142,12.0,30.0,1.0,36.0
5.790019,12.0,30.0,1.0,42.0
6.175587,12.0,30.0,1.0,36.0
5.978642,12.0,30.0,1.0,36.0
6.545709,16.0,30.0,1.0,29.0
6.457705,12.0,30.0,1.0,36.0
6.512002,17.0,30.0,1.0,26.0
5.748596,16.0,30.0,1.0,36.0
6.540169,16.0,30.0,1.0,36.0
5.952494,12.0,30.0,1.0,36.0
5.905634,12.0,30.0,1.0,36.0
6.047781,12.0,30.0,1.0,42.0
6.175587,16.0,30.0,1.0,36.0
4.903136,16.0,30.0,1.0,36.0
6.2148,15.0,30.0,1.0,42.0
6.158302,12.0,30.0,1.0,36.0
6.374402,12.0,30.0,1.0,36.0
5.441835,9.0,30.0,1.0,39.0
5.559572,11.0,30.0,1.0,42.0
6.175587,12.0,30.0,1.0,36.0
6.2451,14.0,30.0,1.0,25.0
6.215108,6.0,30.0,1.0,36.0
5.760175,12.0,30.0,1.0,36.0
6.357876,11.0,30.0,1.0,36.0
6.317408,12.0,30.0,1.0,39.0
6.306591,16.0,30.0,1.0,36.0
5.354861,7.0,30.0,1.0,36.0
6.125094,17.0,30.0,1.0,42.0
6.207991,11.0,30.0,1.0,36.0
6.357876,12.0,30.0,1.0,36.0
6.280288,11.0,30.0,1.0,36.0
5.790019,12.0,30.0,1.0,36.0
5.765991,7.0,30.0,1.0,36.0
5.664895,14.0,30.0,1.0,36.0
6.173586,12.0,30.0,1.0,36.0
6.092223,19.0,30.0,1.0,36.0
5.969763,8.0,30.0,1.0,36.0
6.360538,6.0,30.0,1.0,42.0
5.939918,6.0,30.0,1.0,36.0
5.521961,12.0,30.0,1.0,36.0
6.941971,11.0,30.0,1.0,42.0
5.841033,12.0,30.0,1.0,36.0
5.790019,12.0,30.0,1.0,36.0
6.313583,14.0,30.0,1.0,36.0
6.001272,16.0,30.0,1.0,36.0
5.521845,12.0,30.0,1.0,36.0
6.572686,12.0,30.0,1.0,36.0
6.057729,14.0,30.0,1.0,36.0
5.474981,10.0,30.0,1.0,36.0
5.664895,9.0,30.0,1.0,36.0
6.552864,16.0,30.0,1.0,36.0
5.978642,14.0,30.0,1.0,36.0
6.144309,12.0,30.0,1.0,36.0
5.991964,12.0,30.0,1.0,36.0
6.134774,12.0,30.0,1.0,36.0
5.901214,12.0,30.0,1.0,36.0
6.047781,12.0,30.0,1.0,36.0
6.175587,12.0,30.0,1.0,36.0
6.817347,16.0,30.0,1.0,36.0
5.635504,12.0,30.0,1.0,36.0
5.52246,16.0,30.0,1.0,36.0
5.760175,11.0,30.0,1.0,36.0
5.259597,17.0,30.0,1.0,36.0
6.252534,12.0,30.0,1.0,36.0
6.336565,7.0,30.0,1.0,36.0
6.2148,11.0,30.0,1.0,36.0
6.134774,19.0,30.0,1.0,36.0
5.847439,13.0,30.0,1.0,36.0
6.710593,16.0,30.0,1.0,9.0
5.67682,15.0,30.0,1.0,36.0
5.937891,10.0,30.0,1.0,36.0
6.214808,12.0,30.0,1.0,36.0
6.492386,16.0,30.0,1.0,36.0
6.093092,12.0,30.0,1.0,1.0
5.705384,12.0,30.0,1.0,36.0
6.047781,8.0,30.0,1.0,36.0
6.134774,12.0,30.0,1.0,36.0
6.175587,14.0,30.0,1.0,36.0
5.538354,16.0,30.0,1.0,36.0
6.211334,12.0,30.0,1.0,36.0
1.410987,14.0,30.0,1.0,36.0
6.313583,16.0,30.0,1.0,36.0
6.187118,12.0,30.0,1.0,36.0
6.085681,11.0,30.0,1.0,36.0
6.054123,12.0,30.0,1.0,36.0
6.188521,17.0,30.0,1.0,36.0
5.922382,12.0,30.0,1.0,36.0
5.521861,13.0,30.0,1.0,36.0
5.847161,12.0,30.0,1.0,36.0
7.107945,17.0,30.0,1.0,36.0
5.24753,12.0,30.0,1.0,42.0
6.087002,17.0,30.0,1.0,36.0
4.906303,8.0,30.0,1.0,36.0
4.520829,10.0,30.0,1.0,42.0
5.847161,17.0,30.0,1.0,12.0
3.310683,7.0,30.0,1.0,36.0
5.441835,13.0,30.0,1.0,19.0
5.952494,13.0,30.0,1.0,36.0
5.664895,12.0,30.0,1.0,36.0
6.000796,10.0,30.0,1.0,6.0
6.115213,10.0,30.0,1.0,42.0
5.952494,11.0,30.0,1.0,36.0
6.238362,12.0,30.0,1.0,36.0
6.306355,12.0,30.0,1.0,36.0
6.270879,12.0,30.0,1.0,36.0
5.98592,16.0,30.0,1.0,36.0
5.901214,12.0,30.0,1.0,42.0
5.952494,14.0,30.0,1.0,36.0
5.330021,12.0,30.0,1.0,36.0
5.916876,12.0,30.0,1.0,36.0
5.707302,16.0,30.0,1.0,42.0
5.423048,9.0,30.0,1.0,42.0
5.729413,14.0,30.0,1.0,36.0
5.840369,11.0,30.0,1.0,36.0
6.811435,14.0,30.0,1.0,36.0
6.512002,14.0,30.0,1.0,42.0
5.890102,12.0,30.0,1.0,42.0
3.558913,10.0,30.0,1.0,36.0
5.624087,13.0,30.0,1.0,36.0
4.903136,10.0,30.0,1.0,36.0
6.218464,17.0,30.0,1.0,36.0
5.25056,7.0,30.0,1.0,36.0
5.847161,12.0,30.0,1.0,36.0
5.677039,8.0,30.0,1.0,34.0
5.308363,8.0,30.0,1.0,36.0
6.288895,16.0,30.0,1.0,36.0
6.397138,20.0,30.0,1.0,29.0
5.952494,12.0,30.0,1.0,36.0
5.036578,8.0,30.0,1.0,36.0
5.40103,12.0,30.0,1.0,34.0
6.273784,12.0,30.0,1.0,36.0
6.512002,12.0,30.0,1.0,17.0
6.034054,12.0,30.0,1.0,51.0
5.729413,12.0,30.0,1.0,36.0
6.347827,12.0,30.0,1.0,36.0
5.275462,8.0,30.0,1.0,36.0
6.170395,18.0,30.0,1.0,36.0
5.901214,12.0,30.0,1.0,34.0
5.952494,12.0,30.0,1.0,36.0
5.739448,16.0,30.0,1.0,36.0
6.502819,16.0,30.0,1.0,25.0
5.847161,12.0,30.0,1.0,36.0
5.664895,12.0,30.0,1.0,36.0
5.841592,14.0,30.0,1.0,36.0
6.175587,12.0,30.0,1.0,20.0
6.357876,12.0,30.0,1.0,36.0
5.729413,15.0,30.0,1.0,36.0
6.2148,12.0,30.0,1.0,36.0
6.32398,16.0,30.0,1.0,36.0
6.963936,12.0,30.0,1.0,36.0
6.047781,14.0,30.0,1.0,36.0
6.148877,6.0,30.0,1.0,36.0
6.31184,14.0,30.0,1.0,36.0
6.067199,12.0,30.0,1.0,36.0
5.552885,8.0,30.0,1.0,36.0
5.394082,12.0,30.0,1.0,47.0
6.096561,14.0,30.0,1.0,36.0
5.664895,16.0,30.0,1.0,36.0
6.092223,12.0,30.0,1.0,36.0
5.788836,12.0,30.0,1.0,36.0
3.365304,7.0,30.0,1.0,36.0
6.219787,14.0,30.0,1.0,36.0
6.172266,12.0,30.0,1.0,36.0
5.704103,12.0,30.0,1.0,36.0
5.729413,8.0,30.0,1.0,36.0
5.919979,18.0,30.0,1.0,36.0
7.274,19.0,30.0,1.0,44.0
5.441835,12.0,30.0,1.0,36.0
6.2148,14.0,30.0,1.0,36.0
6.386721,7.0,30.0,1.0,36.0
5.011302,13.0,30.0,1.0,36.0
4.788325,2.0,30.0,1.0,36.0
5.259597,12.0,30.0,1.0,36.0
5.055143,12.0,30.0,1.0,36.0
4.447284,12.0,30.0,1.0,36.0
6.288895,16.0,30.0,1.0,36.0
6.092223,12.0,30.0,1.0,36.0
5.822491,12.0,30.0,1.0,36.0
5.952494,12.0,30.0,1.0,36.0
6.092223,12.0,30.0,1.0,36.0
6.357876,12.0,30.0,1.0,34.0
6.05359,12.0,30.0,1.0,36.0
5.895938,0.0,30.0,1.0,36.0
5.952494,12.0,30.0,1.0,36.0
6.043226,19.0,30.0,1.0,36.0
6.097075,12.0,30.0,1.0,36.0
6.179579,12.0,30.0,1.0,36.0
4.799914,13.0,30.0,1.0,36.0
6.175587,13.0,30.0,1.0,36.0
5.790019,13.0,30.0,1.0,25.0
5.441835,11.0,30.0,1.0,36.0
6.001272,8.0,30.0,1.0,36.0
3.749504,13.0,30.0,1.0,36.0
5.809643,12.0,30.0,1.0,36.0
6.047781,12.0,30.0,1.0,36.0
5.486631,8.0,30.0,1.0,36.0
6.167557,12.0,30.0,1.0,36.0
6.540169,20.0,30.0,1.0,36.0
5.952494,14.0,30.0,1.0,36.0
5.729413,9.0,30.0,1.0,36.0
6.273784,12.0,30.0,1.0,36.0
5.988817,12.0,30.0,1.0,36.0
6.047781,13.0,30.0,1.0,36.0
5.847161,17.0,30.0,1.0,36.0
5.809816,16.0,30.0,1.0,27.0
6.422404,20.0,30.0,1.0,36.0
6.175587,17.0,30.0,1.0,36.0
4.922554,12.0,30.0,1.0,33.0
5.441835,17.0,30.0,1.0,36.0
6.357876,18.0,30.0,1.0,36.0
6.128925,12.0,30.0,1.0,36.0
7.274,20.0,30.0,1.0,24.0
6.868635,18.0,30.0,1.0,36.0
6.237611,12.0,30.0,1.0,36.0
6.529278,20.0,30.0,1.0,36.0
6.963936,16.0,30.0,1.0,36.0
5.931786,17.0,30.0,1.0,42.0
6.134774,12.0,30.0,1.0,36.0
6.092223,10.0,30.0,1.0,36.0
5.298817,12.0,30.0,1.0,36.0
6.252534,12.0,30.0,1.0,36.0
6.52493,12.0,30.0,1.0,36.0
7.274,20.0,30.0,1.0,36.0
6.39066,18.0,30.0,1.0,42.0
6.512002,14.0,30.0,1.0,12.0
5.259597,12.0,30.0,1.0,36.0
6.645516,20.0,30.0,1.0,39.0
7.274,17.0,30.0,1.0,42.0
5.521861,12.0,30.0,1.0,19.0
6.052315,16.0,30.0,1.0,36.0
5.270531,9.0,30.0,1.0,36.0
5.521877,12.0,30.0,1.0,36.0
6.32398,12.0,30.0,1.0,36.0
5.842708,12.0,30.0,1.0,36.0
6.195386,11.0,30.0,1.0,36.0
6.047781,12.0,30.0,1.0,36.0
6.645516,14.0,30.0,1.0,36.0
5.729413,13.0,30.0,1.0,36.0
5.075799,10.0,30.0,1.0,36.0
5.441835,12.0,30.0,1.0,36.0
5.921527,14.0,30.0,1.0,36.0
5.270861,10.0,30.0,1.0,36.0
5.637875,12.0,30.0,1.0,36.0
6.175587,13.0,30.0,1.0,36.0
7.274,16.0,30.0,1.0,36.0
5.298798,18.0,30.0,1.0,27.0
5.481056,12.0,30.0,1.0,42.0
3.700827,12.0,30.0,1.0,36.0
5.345733,12.0,30.0,1.0,36.0
7.043978,12.0,30.0,1.0,36.0
6.483019,17.0,30.0,1.0,36.0
5.595926,12.0,30.0,1.0,36.0
5.899041,10.0,30.0,1.0,36.0
7.274,12.0,30.0,1.0,36.0
5.508173,11.0,30.0,1.0,36.0
5.952494,10.0,30.0,1.0,36.0
5.318216,10.0,30.0,1.0,36.0
6.645516,12.0,30.0,1.0,36.0
6.490534,19.0,30.0,1.0,36.0
6.397096,20.0,30.0,1.0,36.0
5.716838,9.0,30.0,1.0,25.0
6.28139,8.0,30.0,1.0,36.0
5.664895,13.0,30.0,1.0,36.0
6.540169,16.0,30.0,1.0,36.0
5.664895,12.0,30.0,1.0,36.0
6.288895,10.0,30.0,1.0,36.0
5.874553,16.0,30.0,1.0,36.0
6.001272,20.0,30.0,1.0,36.0
6.288895,12.0,30.0,1.0,42.0
6.252534,9.0,30.0,1.0,36.0
6.639247,19.0,30.0,1.0,34.0
6.047781,12.0,30.0,1.0,36.0
5.885302,12.0,30.0,1.0,36.0
7.221653,12.0,30.0,1.0,36.0
6.763285,12.0,30.0,1.0,36.0
5.966403,12.0,30.0,1.0,36.0
5.901214,9.0,30.0,1.0,36.0
6.175587,14.0,30.0,1.0,36.0
5.664895,12.0,30.0,1.0,36.0
6.252534,12.0,30.0,1.0,36.0
6.640504,12.0,30.0,1.0,36.0
5.193512,16.0,30.0,1.0,36.0
6.963936,16.0,30.0,1.0,36.0
6.422404,20.0,30.0,1.0,36.0
6.092223,12.0,30.0,1.0,36.0
5.441835,14.0,30.0,1.0,36.0
5.78421,12.0,30.0,1.0,36.0
6.018266,12.0,30.0,1.0,34.0
6.288895,12.0,30.0,1.0,36.0
6.483019,12.0,30.0,1.0,36.0
6.763285,16.0,30.0,1.0,36.0
6.357876,13.0,30.0,1.0,36.0
5.354861,14.0,30.0,1.0,42.0
6.161491,12.0,30.0,1.0,36.0
6.061322,20.0,30.0,1.0,54.0
5.521845,12.0,30.0,1.0,36.0
6.740815,18.0,30.0,1.0,34.0
5.952494,12.0,30.0,1.0,36.0
6.806766,12.0,30.0,1.0,36.0
5.817283,11.0,30.0,1.0,34.0
6.175587,20.0,30.0,1.0,36.0
5.608697,18.0,30.0,1.0,36.0
5.036578,15.0,30.0,1.0,36.0
6.357876,16.0,30.0,1.0,36.0
6.252534,12.0,30.0,1.0,36.0
7.274,18.0,30.0,1.0,24.0
6.540169,15.0,30.0,1.0,18.0
6.252534,16.0,30.0,1.0,25.0
6.175587,16.0,30.0,1.0,36.0
6.645516,12.0,30.0,1.0,36.0
6.437905,12.0,30.0,1.0,36.0
4.830312,13.0,30.0,1.0,36.0
5.505924,12.0,30.0,1.0,36.0
5.664895,10.0,30.0,1.0,36.0
5.441835,12.0,30.0,1.0,36.0
6.785262,15.0,30.0,1.0,42.0
3.222715,9.0,30.0,1.0,36.0
5.809476,12.0,30.0,1.0,36.0
6.175587,17.0,30.0,1.0,42.0
6.512002,18.0,30.0,1.0,36.0
6.11797,15.0,30.0,1.0,36.0
6.483019,16.0,30.0,1.0,36.0
5.521845,10.0,30.0,1.0,36.0
6.134774,16.0,30.0,1.0,36.0
6.588953,19.0,30.0,1.0,36.0
6.422404,12.0,30.0,1.0,36.0
6.422404,18.0,30.0,1.0,36.0
5.441835,8.0,30.0,1.0,36.0
5.664895,12.0,30.0,1.0,36.0
6.45697,10.0,30.0,1.0,10.0
5.224978,9.0,30.0,1.0,36.0
6.357876,12.0,30.0,1.0,36.0
5.930254,13.0,30.0,1.0,36.0
5.790019,12.0,30.0,1.0,36.0
5.952494,17.0,30.0,1.0,36.0
6.2148,12.0,30.0,1.0,21.0
5.729413,12.0,30.0,1.0,36.0
5.896467,8.0,30.0,1.0,36.0
5.093632,14.0,30.0,1.0,36.0
5.521845,12.0,30.0,1.0,36.0
6.827817,16.0,30.0,1.0,36.0
6.433058,19.0,30.0,1.0,36.0
5.991715,12.0,30.0,1.0,36.0
6.255122,16.0,30.0,1.0,36.0
5.9346,12.0,30.0,1.0,36.0
6.540169,14.0,30.0,1.0,36.0
6.620351,16.0,30.0,1.0,36.0
5.521845,12.0,30.0,1.0,36.0
7.10763,16.0,30.0,1.0,36.0
5.952494,11.0,30.0,1.0,36.0
5.99873,6.0,30.0,1.0,36.0
6.175587,12.0,30.0,1.0,36.0
6.878584,19.0,30.0,1.0,36.0
6.656584,19.0,30.0,1.0,36.0
5.664895,16.0,30.0,1.0,36.0
5.664895,12.0,30.0,1.0,36.0
6.320526,19.0,30.0,1.0,36.0
5.562529,12.0,30.0,1.0,23.0
6.357876,14.0,30.0,1.0,36.0
6.675556,19.0,30.0,1.0,36.0
5.529505,12.0,30.0,1.0,36.0
6.266507,14.0,30.0,1.0,36.0
5.847161,14.0,30.0,1.0,36.0
6.945588,13.0,30.0,1.0,36.0
5.952494,12.0,30.0,1.0,36.0
5.856474,13.0,30.0,1.0,36.0
7.252611,10.0,30.0,1.0,36.0
6.294843,16.0,30.0,1.0,36.0
5.521961,12.0,30.0,1.0,36.0
3.95898,19.0,30.0,1.0,36.0
7.274,20.0,30.0,1.0,36.0
5.298817,14.0,30.0,1.0,36.0
6.416135,18.0,30.0,1.0,36.0
6.771473,13.0,30.0,1.0,36.0
5.847161,16.0,30.0,1.0,36.0
5.600912,14.0,30.0,1.0,36.0
6.047781,18.0,30.0,1.0,36.0
6.357876,12.0,30.0,1.0,36.0
6.645516,16.0,30.0,1.0,36.0
5.748831,16.0,30.0,1.0,36.0
5.847161,12.0,30.0,1.0,36.0
5.952494,11.0,30.0,1.0,36.0
6.357876,14.0,30.0,1.0,36.0
6.134774,17.0,30.0,1.0,36.0
6.103462,16.0,30.0,1.0,36.0
6.2148,16.0,30.0,1.0,17.0
7.274,18.0,30.0,1.0,36.0
3.848335,12.0,30.0,1.0,36.0
6.645516,12.0,30.0,1.0,36.0
6.001272,12.0,30.0,1.0,36.0
6.113725,14.0,30.0,1.0,36.0
5.259597,12.0,30.0,1.0,36.0
6.001272,20.0,30.0,1.0,36.0
5.960637,10.0,30.0,1.0,36.0
5.952494,12.0,30.0,1.0,36.0
6.984809,12.0,30.0,1.0,36.0
7.274,20.0,30.0,1.0,36.0
6.537945,20.0,30.0,1.0,36.0
5.788842,12.0,30.0,1.0,18.0
6.120086,14.0,30.0,1.0,36.0
6.112852,17.0,30.0,1.0,36.0
5.744938,10.0,30.0,1.0,36.0
6.175587,12.0,30.0,1.0,36.0
5.952494,12.0,30.0,1.0,36.0
6.502446,20.0,30.0,1.0,36.0
6.567565,14.0,30.0,1.0,24.0
6.39709,16.0,30.0,1.0,36.0
5.901214,13.0,30.0,1.0,36.0
6.39066,12.0,30.0,1.0,36.0
6.001272,12.0,30.0,1.0,42.0
6.23309,10.0,30.0,1.0,36.0
6.6073,19.0,30.0,1.0,36.0
5.809455,12.0,30.0,1.0,36.0
